ticker,ticker-full,short-name,sector,industry,6-10--2025
ETSY,ETSY US Equity,ETSY INC,Consumer Discretionary,Broadline Retail,61.83000183
CPNG,CPNG US Equity,COUPANG INC,Consumer Discretionary,Broadline Retail,28.26000023
M,M US Equity,MACY'S INC,Consumer Discretionary,Broadline Retail,12.36999989
SVV,SVV US Equity,SAVERS VALUE VIL,Consumer Discretionary,Broadline Retail,10.97999954
KSS,KSS US Equity,KOHLS CORP,Consumer Discretionary,Broadline Retail,9.399999619
QVCGA,QVCGA US Equity,QVC GROUP INC,Consumer Discretionary,Broadline Retail,3.390000105
DIBS,DIBS US Equity,1STDIBS.COM INC,Consumer Discretionary,Broadline Retail,2.890000105
HOUR,HOUR US Equity,HOUR LOOP INC,Consumer Discretionary,Broadline Retail,1.289999962
OLLI,OLLI US Equity,OLLIE'S BARGAIN,Consumer Discretionary,Broadline Retail,113.01
GRPN,GRPN US Equity,GROUPON INC,Consumer Discretionary,Broadline Retail,32.61
POOL,POOL US Equity,POOL CORP,Consumer Discretionary,Distributors,306.3099976
GPC,GPC US Equity,GENUINE PARTS CO,Consumer Discretionary,Distributors,126.5400009
LKQ,LKQ US Equity,LKQ CORP,Consumer Discretionary,Distributors,39.75999832
WEYS,WEYS US Equity,WEYCO GROUP,Consumer Discretionary,Distributors,31.95999908
AENT,AENT US Equity,ALLIANCE ENTERTA,Consumer Discretionary,Distributors,3.460000038
CTNT,CTNT US Equity,CHEETAH NET SUPP,Consumer Discretionary,Distributors,1.389999986
EDUC,EDUC US Equity,EDUCATIONAL DEV,Consumer Discretionary,Distributors,1.389999986
DIT,DIT US Equity,AMCON DISTRIBUT,Consumer Discretionary,Distributors,101
AMRK,AMRK US Equity,A-MARK PRECIOUS,Consumer Discretionary,Distributors,21.51
GCT,GCT US Equity,GIGACLOUD TECH-A,Consumer Discretionary,Distributors,18.6
KAVL,KAVL US Equity,KAIVAL BRANDS IN,Consumer Discretionary,Distributors,0.56
GNLN,GNLN US Equity,GREENLANE HOLD-A,Consumer Discretionary,Distributors,0.01
GHC,GHC US Equity,GRAHAM HOLDING-B,Consumer Discretionary,Diversified Consumer Services,955.2399902
LOPE,LOPE US Equity,GRAND CANYON EDU,Consumer Discretionary,Diversified Consumer Services,183.4499969
LRN,LRN US Equity,STRIDE INC,Consumer Discretionary,Diversified Consumer Services,139.75
BFAM,BFAM US Equity,BRIGHT HORIZONS,Consumer Discretionary,Diversified Consumer Services,124.4700012
ATGE,ATGE US Equity,ADTALEM GLOBAL E,Consumer Discretionary,Diversified Consumer Services,119.1800003
STRA,STRA US Equity,STRATEGIC EDUCAT,Consumer Discretionary,Diversified Consumer Services,82.97000122
SCI,SCI US Equity,SERVICE CORP INT,Consumer Discretionary,Diversified Consumer Services,79.77999878
CSV,CSV US Equity,CARRIAGE SERVICE,Consumer Discretionary,Diversified Consumer Services,45.43000031
UTI,UTI US Equity,UNIVERSAL TECHNI,Consumer Discretionary,Diversified Consumer Services,32.54000092
PRDO,PRDO US Equity,PERDOCEO EDUCATI,Consumer Discretionary,Diversified Consumer Services,31.77000046
APEI,APEI US Equity,AMERICAN PUBLIC,Consumer Discretionary,Diversified Consumer Services,26.04000092
MATW,MATW US Equity,MATTHEWS INTL-A,Consumer Discretionary,Diversified Consumer Services,23.04000092
RGS,RGS US Equity,REGIS CORP,Consumer Discretionary,Diversified Consumer Services,22.12999916
LAUR,LAUR US Equity,LAUREATE EDUCATI,Consumer Discretionary,Diversified Consumer Services,21.81999969
LINC,LINC US Equity,LINCOLN EDUCATIO,Consumer Discretionary,Diversified Consumer Services,21.15999985
KLC,KLC US Equity,KINDERCARE LEARN,Consumer Discretionary,Diversified Consumer Services,10.75
