ticker_id,ticker,ticker-full,short-name,sector,industry
307,BYD,BYD US Equity,BOYD GAMING CORP,Consumer Discretionary,"Hotels, Restaurants & Leisure"
308,CAKE,CAKE US Equity,CHEESECAKE FACTO,Consumer Discretionary,"Hotels, Restaurants & Leisure"
309,CAVA,CAVA US Equity,CAVA GROUP INC,Consumer Discretionary,"Hotels, Restaurants & Leisure"
310,CBRL,CBRL US Equity,CRACKER BARREL,Consumer Discretionary,"Hotels, Restaurants & Leisure"
311,CCL,CCL US Equity,CARNIVAL CORP,Consumer Discretionary,"Hotels, Restaurants & Leisure"
312,CHDN,CHDN US Equity,CHURCHILL DOWNS,Consumer Discretionary,"Hotels, Restaurants & Leisure"
313,CHH,CHH US Equity,CHOICE HOTELS,Consumer Discretionary,"Hotels, Restaurants & Leisure"
314,CMG,CMG US Equity,CHIPOTLE MEXICAN,Consumer Discretionary,"Hotels, Restaurants & Leisure"
315,CNTY,CNTY US Equity,CENTURY CASINOS,Consumer Discretionary,"Hotels, Restaurants & Leisure"
316,CPHC,CPHC US Equity,CANTERBURY PARK,Consumer Discretionary,"Hotels, Restaurants & Leisure"
317,CUK,CUK US Equity,CARNIVAL PLC-ADR,Consumer Discretionary,"Hotels, Restaurants & Leisure"
318,CZR,CZR US Equity,CAESARS ENTERTAI,Consumer Discretionary,"Hotels, Restaurants & Leisure"
319,DASH,DASH US Equity,DOORDASH INC-A,Consumer Discretionary,"Hotels, Restaurants & Leisure"
320,DENN,DENN US Equity,DENNY'S CORP,Consumer Discretionary,"Hotels, Restaurants & Leisure"
321,DIN,DIN US Equity,DINE BRANDS GLOB,Consumer Discretionary,"Hotels, Restaurants & Leisure"
322,DKNG,DKNG US Equity,DRAFTKINGS INC,Consumer Discretionary,"Hotels, Restaurants & Leisure"
323,DNUT,DNUT US Equity,KRISPY KREME INC,Consumer Discretionary,"Hotels, Restaurants & Leisure"
324,DPZ,DPZ US Equity,DOMINO'S PIZZA,Consumer Discretionary,"Hotels, Restaurants & Leisure"
