id_ind,industry_id,industry,date_id,date,volume,close_price,dayHigh,dayLow
622916.0,61.0,Tobacco,20250613,6/13/2025,16243100,383.086005057,385.961007635,379.55599236399996
622919.0,61.0,Tobacco,20250616,6/16/2025,15236726,380.8198957,387.5238057,377.3909974
633143.0,62.0,Trading Companies & Distributors,20250613,6/13/2025,24084900,4048.761010005,4120.645003995,4024.914952033
633146.0,62.0,Trading Companies & Distributors,20250616,6/16/2025,22072078,4067.126259,4120.57937,4027.969941
643370.0,63.0,Transportation Infrastructure,20250613,6/13/2025,37500,1.080000043,1.090000033,1.019999981
643373.0,63.0,Transportation Infrastructure,20250616,6/16/2025,58674,1.090000033,1.139999986,1.059999943
653597.0,64.0,Water Utilities,20250613,6/13/2025,3733800,502.71000381199997,510.230005525,501.81000043
653600.0,64.0,Water Utilities,20250616,6/16/2025,4688032,497.7800014,506.5999041,494.5499964
663824.0,65.0,Wireless Telecommunication Services,20250613,6/13/2025,6310600,351.66000128499996,356.390000127,349.254993212
663827.0,65.0,Wireless Telecommunication Services,20250616,6/16/2025,5790557,357.1600068,358.0649993,351.9649994
